, gtpath, predpath, bad kern syntax OMR-ED, bad kern syntax % contribution to OMR-NED, wrong note OMR-ED, wrong note % contribution to OMR-NED, wrong note head OMR-ED, wrong note head % contribution to OMR-NED, wrong flag/beam OMR-ED, wrong flag/beam % contribution to OMR-NED, wrong dot OMR-ED, wrong dot % contribution to OMR-NED, wrong tuplet OMR-ED, wrong tuplet % contribution to OMR-NED, wrong accidental OMR-ED, wrong accidental % contribution to OMR-NED, wrong note stem OMR-ED, wrong note stem % contribution to OMR-NED, wrong graceness OMR-ED, wrong graceness % contribution to OMR-NED, wrong tie OMR-ED, wrong tie % contribution to OMR-NED, wrong articulation OMR-ED, wrong articulation % contribution to OMR-NED, wrong ornament OMR-ED, wrong ornament % contribution to OMR-NED, wrong lyric OMR-ED, wrong lyric % contribution to OMR-NED, wrong clef OMR-ED, wrong clef % contribution to OMR-NED, wrong timesig OMR-ED, wrong timesig % contribution to OMR-NED, wrong keysig OMR-ED, wrong keysig % contribution to OMR-NED, wrong tempo OMR-ED, wrong tempo % contribution to OMR-NED, wrong barline OMR-ED, wrong barline % contribution to OMR-NED, wrong direction OMR-ED, wrong direction % contribution to OMR-NED, wrong dynamic OMR-ED, wrong dynamic % contribution to OMR-NED, wrong crescendo OMR-ED, wrong crescendo % contribution to OMR-NED, wrong diminuendo OMR-ED, wrong diminuendo % contribution to OMR-NED, wrong slur OMR-ED, wrong slur % contribution to OMR-NED, wrong ottava OMR-ED, wrong ottava % contribution to OMR-NED, wrong multi-staff arpeggio OMR-ED, wrong multi-staff arpeggio % contribution to OMR-NED, wrong fingered tremolo OMR-ED, wrong fingered tremolo % contribution to OMR-NED, wrong chord symbol OMR-ED, wrong chord symbol % contribution to OMR-NED, wrong ending OMR-ED, wrong ending % contribution to OMR-NED, wrong staff info OMR-ED, wrong staff info % contribution to OMR-NED, wrong system break OMR-ED, wrong system break % contribution to OMR-NED, wrong page break OMR-ED, wrong page break % contribution to OMR-NED, wrong other object OMR-ED, wrong other object % contribution to OMR-NED, entire measure insert/delete OMR-ED, entire measure insert/delete % contribution to OMR-NED, entire staff insert/delete OMR-ED, entire staff insert/delete % contribution to OMR-NED, wrong metadata OMR-ED, wrong metadata % contribution to OMR-NED, wrong staff group OMR-ED, wrong staff group % contribution to OMR-NED, wrong staff group name/abbrev OMR-ED, wrong staff group name/abbrev % contribution to OMR-NED, wrong staff group brace OMR-ED, wrong staff group brace % contribution to OMR-NED, wrong staff group barline OMR-ED, wrong staff group barline % contribution to OMR-NED, gt numsyms, pred numsyms, total numsyms (in both scores), OMR-ED (OMR Edit Distance), OMR-NED (OMR-ED / total numsyms)
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000316.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000316.xml, 0, 0., 41, 40.19607843137255, 0, 0., 4, 3.9215686274509802, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 4.901960784313726, 1, 0.9803921568627451, 0, 0., 0, 0., 9, 8.823529411764707, 0, 0., 0, 0., 0, 0., 0, 0., 11, 10.784313725490197, 0, 0., 0, 0., 3, 2.9411764705882355, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 15, 14.705882352941176, 0, 0., 0, 0., 13, 12.745098039215685, 0, 0., 0, 0., 0, 0., 211, 193, 404, 102, 0.2524752475247525
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000455.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000455.xml, 0, 0., 61, 27.232142857142858, 0, 0., 2, 0.8928571428571429, 1, 0.44642857142857145, 0, 0., 1, 0.44642857142857145, 0, 0., 0, 0., 0, 0., 1, 0.44642857142857145, 0, 0., 0, 0., 0, 0., 2, 0.8928571428571429, 1, 0.44642857142857145, 0, 0., 6, 2.6785714285714284, 0, 0., 0, 0., 0, 0., 0, 0., 9, 4.017857142857143, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 140, 62.5, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 217, 350, 567, 224, 0.3950617283950617
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000213.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000213.xml, 0, 0., 26, 13.0, 0, 0., 2, 1.0, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 2, 1.0, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 170, 85.0, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 139, 307, 446, 200, 0.4484304932735426
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000311.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000311.xml, 0, 0., 46, 16.370106761565836, 0, 0., 0, 0., 0, 0., 4, 1.4234875444839858, 0, 0., 0, 0., 0, 0., 2, 0.7117437722419929, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.35587188612099646, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 9, 3.202846975088968, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 219, 77.93594306049822, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 163, 401, 564, 281, 0.49822695035460995
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000261.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000261.xml, 0, 0., 5, 1.5723270440251573, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.31446540880503143, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 6, 1.8867924528301887, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 306, 96.22641509433963, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 146, 458, 604, 318, 0.5264900662251656
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000120.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000120.xml, 0, 0., 14, 2.536231884057971, 0, 0., 0, 0., 1, 0.18115942028985507, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 0.9057971014492754, 0, 0., 0, 0., 0, 0., 0, 0., 3, 0.5434782608695652, 0, 0., 0, 0., 0, 0., 7, 1.2681159420289856, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 509, 92.21014492753623, 0, 0., 0, 0., 13, 2.3550724637681157, 0, 0., 0, 0., 0, 0., 243, 765, 1008, 552, 0.5476190476190477
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000475.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000475.xml, 0, 0., 29, 7.0559610705596105, 0, 0., 2, 0.48661800486618007, 0, 0., 0, 0., 3, 0.7299270072992701, 0, 0., 0, 0., 0, 0., 3, 0.7299270072992701, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 11, 2.67639902676399, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 363, 88.32116788321167, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 223, 527, 750, 411, 0.548
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000415.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000415.xml, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 3, 0.4032258064516129, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 3, 0.4032258064516129, 0, 0., 0, 0., 1, 0.13440860215053763, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 724, 97.31182795698925, 0, 0., 0, 0., 13, 1.7473118279569892, 0, 0., 0, 0., 0, 0., 272, 1008, 1280, 744, 0.58125
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000179.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000179.xml, 0, 0., 37, 7.613168724279835, 0, 0., 2, 0.411522633744856, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 7, 1.440329218106996, 0, 0., 0, 0., 0, 0., 9, 1.8518518518518519, 0, 0., 0, 0., 0, 0., 0, 0., 16, 3.292181069958848, 0, 0., 0, 0., 2, 0.411522633744856, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 400, 82.3045267489712, 0, 0., 0, 0., 13, 2.674897119341564, 0, 0., 0, 0., 0, 0., 196, 629, 825, 486, 0.5890909090909091
, c:\Users\Me\CodeProjects\notes2tone\generated\gt\sample_000194.krn, c:\Users\Me\CodeProjects\notes2tone\generated\xml\sample_000194.xml, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.4065040650406504, 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.4065040650406504, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 4, 1.6260162601626016, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 240, 97.5609756097561, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 84, 328, 412, 246, 0.5970873786407767
