, gtpath, predpath, bad kern syntax OMR-ED, bad kern syntax % contribution to OMR-NED, wrong note OMR-ED, wrong note % contribution to OMR-NED, wrong note head OMR-ED, wrong note head % contribution to OMR-NED, wrong flag/beam OMR-ED, wrong flag/beam % contribution to OMR-NED, wrong dot OMR-ED, wrong dot % contribution to OMR-NED, wrong tuplet OMR-ED, wrong tuplet % contribution to OMR-NED, wrong accidental OMR-ED, wrong accidental % contribution to OMR-NED, wrong note stem OMR-ED, wrong note stem % contribution to OMR-NED, wrong graceness OMR-ED, wrong graceness % contribution to OMR-NED, wrong tie OMR-ED, wrong tie % contribution to OMR-NED, wrong articulation OMR-ED, wrong articulation % contribution to OMR-NED, wrong ornament OMR-ED, wrong ornament % contribution to OMR-NED, wrong lyric OMR-ED, wrong lyric % contribution to OMR-NED, wrong clef OMR-ED, wrong clef % contribution to OMR-NED, wrong timesig OMR-ED, wrong timesig % contribution to OMR-NED, wrong keysig OMR-ED, wrong keysig % contribution to OMR-NED, wrong tempo OMR-ED, wrong tempo % contribution to OMR-NED, wrong barline OMR-ED, wrong barline % contribution to OMR-NED, wrong direction OMR-ED, wrong direction % contribution to OMR-NED, wrong dynamic OMR-ED, wrong dynamic % contribution to OMR-NED, wrong crescendo OMR-ED, wrong crescendo % contribution to OMR-NED, wrong diminuendo OMR-ED, wrong diminuendo % contribution to OMR-NED, wrong slur OMR-ED, wrong slur % contribution to OMR-NED, wrong ottava OMR-ED, wrong ottava % contribution to OMR-NED, wrong multi-staff arpeggio OMR-ED, wrong multi-staff arpeggio % contribution to OMR-NED, wrong fingered tremolo OMR-ED, wrong fingered tremolo % contribution to OMR-NED, wrong chord symbol OMR-ED, wrong chord symbol % contribution to OMR-NED, wrong ending OMR-ED, wrong ending % contribution to OMR-NED, wrong staff info OMR-ED, wrong staff info % contribution to OMR-NED, wrong system break OMR-ED, wrong system break % contribution to OMR-NED, wrong page break OMR-ED, wrong page break % contribution to OMR-NED, wrong other object OMR-ED, wrong other object % contribution to OMR-NED, entire measure insert/delete OMR-ED, entire measure insert/delete % contribution to OMR-NED, entire staff insert/delete OMR-ED, entire staff insert/delete % contribution to OMR-NED, wrong metadata OMR-ED, wrong metadata % contribution to OMR-NED, wrong staff group OMR-ED, wrong staff group % contribution to OMR-NED, wrong staff group name/abbrev OMR-ED, wrong staff group name/abbrev % contribution to OMR-NED, wrong staff group brace OMR-ED, wrong staff group brace % contribution to OMR-NED, wrong staff group barline OMR-ED, wrong staff group barline % contribution to OMR-NED, gt numsyms, pred numsyms, total numsyms (in both scores), OMR-ED (OMR Edit Distance), OMR-NED (OMR-ED / total numsyms)
, generated\gt\sample_000389.krn, generated\xml_scaled\sample_000389.xml, 0, 0., 69, 69.0, 0, 0., 2, 2.0, 0, 0., 0, 0., 1, 1.0, 0, 0., 0, 0., 0, 0., 4, 4.0, 1, 1.0, 0, 0., 0, 0., 6, 6.0, 0, 0., 0, 0., 1, 1.0, 0, 0., 0, 0., 0, 0., 0, 0., 6, 6.0, 0, 0., 0, 0., 0, 0., 0, 0., 6, 6.0, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 4, 4.0, 0, 0., 0, 0., 0, 0., 333, 323, 656, 100, 0.1524390243902439
, generated\gt\sample_000580.krn, generated\xml_scaled\sample_000580.xml, 0, 0., 102, 57.6271186440678, 0, 0., 3, 1.694915254237288, 2, 1.1299435028248588, 0, 0., 1, 0.5649717514124294, 0, 0., 0, 0., 0, 0., 14, 7.909604519774011, 0, 0., 0, 0., 0, 0., 4, 2.2598870056497176, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.5649717514124294, 4, 2.2598870056497176, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 41, 23.163841807909606, 0, 0., 0, 0., 0, 0., 5, 2.824858757062147, 0, 0., 0, 0., 292, 256, 548, 177, 0.32299270072992703
, generated\gt\sample_000316.krn, generated\xml_scaled\sample_000316.xml, 0, 0., 70, 51.851851851851855, 0, 0., 4, 2.962962962962963, 5, 3.7037037037037037, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 3.7037037037037037, 1, 0.7407407407407407, 0, 0., 0, 0., 9, 6.666666666666667, 0, 0., 0, 0., 0, 0., 0, 0., 9, 6.666666666666667, 0, 0., 0, 0., 4, 2.962962962962963, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 15, 11.11111111111111, 0, 0., 0, 0., 13, 9.62962962962963, 0, 0., 0, 0., 0, 0., 211, 180, 391, 135, 0.3452685421994885
, generated\gt\sample_000213.krn, generated\xml_scaled\sample_000213.xml, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 2, 1.1299435028248588, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 4, 2.2598870056497176, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 171, 96.61016949152543, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 139, 312, 451, 177, 0.3924611973392461
, generated\gt\sample_000320.krn, generated\xml_scaled\sample_000320.xml, 0, 0., 115, 62.16216216216216, 4, 2.1621621621621623, 0, 0., 8, 4.324324324324325, 0, 0., 6, 3.2432432432432434, 0, 0., 0, 0., 0, 0., 5, 2.7027027027027026, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 3, 1.6216216216216217, 0, 0., 0, 0., 10, 5.405405405405405, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 29, 15.675675675675675, 0, 0., 0, 0., 0, 0., 5, 2.7027027027027026, 0, 0., 0, 0., 240, 210, 450, 185, 0.4111111111111111
, generated\gt\sample_000109.krn, generated\xml_scaled\sample_000109.xml, 0, 0., 66, 15.676959619952495, 0, 0., 3, 0.7125890736342043, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 2, 0.4750593824228028, 4, 0.9501187648456056, 2, 0.4750593824228028, 0, 0., 0, 0., 0, 0., 1, 0.2375296912114014, 0, 0., 0, 0., 3, 0.7125890736342043, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 335, 79.57244655581948, 0, 0., 0, 0., 0, 0., 5, 1.187648456057007, 0, 0., 0, 0., 297, 608, 905, 421, 0.46519337016574586
, generated\gt\sample_000310.krn, generated\xml_scaled\sample_000310.xml, 0, 0., 24, 14.634146341463415, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 2, 1.2195121951219512, 6, 3.658536585365854, 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.6097560975609756, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 10, 6.097560975609756, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 121, 73.78048780487805, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 103, 228, 331, 164, 0.4954682779456193
, generated\gt\sample_000261.krn, generated\xml_scaled\sample_000261.xml, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.3048780487804878, 0, 0., 0, 0., 2, 0.6097560975609756, 2, 0.6097560975609756, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 6, 1.829268292682927, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 317, 96.64634146341463, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 146, 472, 618, 328, 0.5307443365695793
, generated\gt\sample_000594.krn, generated\xml_scaled\sample_000594.xml, 0, 0., 346, 90.81364829396325, 0, 0., 10, 2.6246719160104988, 0, 0., 2, 0.5249343832020997, 1, 0.26246719160104987, 0, 0., 0, 0., 0, 0., 2, 0.5249343832020997, 0, 0., 0, 0., 0, 0., 4, 1.0498687664041995, 2, 0.5249343832020997, 0, 0., 4, 1.0498687664041995, 0, 0., 5, 1.3123359580052494, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 1.3123359580052494, 0, 0., 0, 0., 364, 339, 703, 381, 0.5419630156472262
, generated\gt\sample_000455.krn, generated\xml_scaled\sample_000455.xml, 0, 0., 137, 47.9020979020979, 4, 1.3986013986013985, 9, 3.1468531468531467, 1, 0.34965034965034963, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.34965034965034963, 0, 0., 0, 0., 0, 0., 2, 0.6993006993006993, 1, 0.34965034965034963, 0, 0., 6, 2.097902097902098, 0, 0., 0, 0., 0, 0., 0, 0., 16, 5.594405594405594, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 109, 38.11188811188811, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 217, 298, 515, 286, 0.5553398058252427
