, gtpath, predpath, bad kern syntax OMR-ED, bad kern syntax % contribution to OMR-NED, wrong note OMR-ED, wrong note % contribution to OMR-NED, wrong note head OMR-ED, wrong note head % contribution to OMR-NED, wrong flag/beam OMR-ED, wrong flag/beam % contribution to OMR-NED, wrong dot OMR-ED, wrong dot % contribution to OMR-NED, wrong tuplet OMR-ED, wrong tuplet % contribution to OMR-NED, wrong accidental OMR-ED, wrong accidental % contribution to OMR-NED, wrong note stem OMR-ED, wrong note stem % contribution to OMR-NED, wrong graceness OMR-ED, wrong graceness % contribution to OMR-NED, wrong tie OMR-ED, wrong tie % contribution to OMR-NED, wrong articulation OMR-ED, wrong articulation % contribution to OMR-NED, wrong ornament OMR-ED, wrong ornament % contribution to OMR-NED, wrong lyric OMR-ED, wrong lyric % contribution to OMR-NED, wrong clef OMR-ED, wrong clef % contribution to OMR-NED, wrong timesig OMR-ED, wrong timesig % contribution to OMR-NED, wrong keysig OMR-ED, wrong keysig % contribution to OMR-NED, wrong tempo OMR-ED, wrong tempo % contribution to OMR-NED, wrong barline OMR-ED, wrong barline % contribution to OMR-NED, wrong direction OMR-ED, wrong direction % contribution to OMR-NED, wrong dynamic OMR-ED, wrong dynamic % contribution to OMR-NED, wrong crescendo OMR-ED, wrong crescendo % contribution to OMR-NED, wrong diminuendo OMR-ED, wrong diminuendo % contribution to OMR-NED, wrong slur OMR-ED, wrong slur % contribution to OMR-NED, wrong ottava OMR-ED, wrong ottava % contribution to OMR-NED, wrong multi-staff arpeggio OMR-ED, wrong multi-staff arpeggio % contribution to OMR-NED, wrong fingered tremolo OMR-ED, wrong fingered tremolo % contribution to OMR-NED, wrong chord symbol OMR-ED, wrong chord symbol % contribution to OMR-NED, wrong ending OMR-ED, wrong ending % contribution to OMR-NED, wrong staff info OMR-ED, wrong staff info % contribution to OMR-NED, wrong system break OMR-ED, wrong system break % contribution to OMR-NED, wrong page break OMR-ED, wrong page break % contribution to OMR-NED, wrong other object OMR-ED, wrong other object % contribution to OMR-NED, entire measure insert/delete OMR-ED, entire measure insert/delete % contribution to OMR-NED, entire staff insert/delete OMR-ED, entire staff insert/delete % contribution to OMR-NED, wrong metadata OMR-ED, wrong metadata % contribution to OMR-NED, wrong staff group OMR-ED, wrong staff group % contribution to OMR-NED, wrong staff group name/abbrev OMR-ED, wrong staff group name/abbrev % contribution to OMR-NED, wrong staff group brace OMR-ED, wrong staff group brace % contribution to OMR-NED, wrong staff group barline OMR-ED, wrong staff group barline % contribution to OMR-NED, gt numsyms, pred numsyms, total numsyms (in both scores), OMR-ED (OMR Edit Distance), OMR-NED (OMR-ED / total numsyms)
, generated\gt\sample_000262.krn, generated\xml_homr\sample_000262.xml, 0, 0., 15, 7.8125, 0, 0., 66, 34.375, 0, 0., 0, 0., 3, 1.5625, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 4, 2.0833333333333335, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 104, 54.166666666666664, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 303, 401, 704, 192, 0.2727272727272727
, generated\gt\sample_000316.krn, generated\xml_homr\sample_000316.xml, 0, 0., 55, 37.16216216216216, 0, 0., 8, 5.405405405405405, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.6756756756756757, 2, 1.3513513513513513, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 3.3783783783783785, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 9, 6.081081081081081, 64, 43.24324324324324, 0, 0., 4, 2.7027027027027026, 0, 0., 0, 0., 0, 0., 211, 185, 396, 148, 0.37373737373737376
, generated\gt\sample_000455.krn, generated\xml_homr\sample_000455.xml, 0, 0., 48, 21.91780821917808, 0, 0., 16, 7.30593607305936, 0, 0., 0, 0., 3, 1.36986301369863, 0, 0., 0, 0., 1, 0.45662100456621, 4, 1.82648401826484, 1, 0.45662100456621, 0, 0., 0, 0., 0, 0., 1, 0.45662100456621, 0, 0., 4, 1.82648401826484, 0, 0., 0, 0., 0, 0., 0, 0., 8, 3.65296803652968, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 133, 60.730593607305934, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 217, 336, 553, 219, 0.3960216998191682
, generated\gt\sample_000213.krn, generated\xml_homr\sample_000213.xml, 0, 0., 0, 0., 0, 0., 32, 16.41025641025641, 0, 0., 0, 0., 1, 0.5128205128205128, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 2, 1.0256410256410255, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 160, 82.05128205128206, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 139, 292, 431, 195, 0.45243619489559167
, generated\gt\sample_000310.krn, generated\xml_homr\sample_000310.xml, 0, 0., 0, 0., 0, 0., 26, 17.80821917808219, 0, 0., 0, 0., 3, 2.0547945205479454, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.684931506849315, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 3.4246575342465753, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 111, 76.02739726027397, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 103, 205, 308, 146, 0.474025974025974
, generated\gt\sample_000286.krn, generated\xml_homr\sample_000286.xml, 0, 0., 0, 0., 0, 0., 50, 22.52252252252252, 0, 0., 0, 0., 1, 0.45045045045045046, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 171, 77.02702702702703, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 151, 317, 468, 222, 0.47435897435897434
, generated\gt\sample_000191.krn, generated\xml_homr\sample_000191.xml, 0, 0., 0, 0., 0, 0., 16, 4.610951008645533, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 6, 1.7291066282420748, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 325, 93.65994236311239, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 191, 510, 701, 347, 0.4950071326676177
, generated\gt\sample_000276.krn, generated\xml_homr\sample_000276.xml, 0, 0., 106, 32.31707317073171, 0, 0., 72, 21.951219512195124, 0, 0., 4, 1.2195121951219512, 8, 2.4390243902439024, 0, 0., 0, 0., 0, 0., 5, 1.524390243902439, 0, 0., 0, 0., 1, 0.3048780487804878, 2, 0.6097560975609756, 0, 0., 0, 0., 2, 0.6097560975609756, 0, 0., 0, 0., 0, 0., 0, 0., 14, 4.2682926829268295, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 110, 33.53658536585366, 0, 0., 4, 1.2195121951219512, 0, 0., 0, 0., 0, 0., 358, 300, 658, 328, 0.49848024316109424
, generated\gt\sample_000389.krn, generated\xml_homr\sample_000389.xml, 0, 0., 130, 40.247678018575854, 0, 0., 61, 18.88544891640867, 0, 0., 0, 0., 9, 2.7863777089783284, 0, 0., 0, 0., 0, 0., 0, 0., 2, 0.6191950464396285, 0, 0., 1, 0.30959752321981426, 4, 1.238390092879257, 0, 0., 0, 0., 4, 1.238390092879257, 0, 0., 0, 0., 0, 0., 0, 0., 10, 3.0959752321981426, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 98, 30.340557275541794, 0, 0., 4, 1.238390092879257, 0, 0., 0, 0., 0, 0., 333, 301, 634, 323, 0.5094637223974764
, generated\gt\sample_000311.krn, generated\xml_homr\sample_000311.xml, 0, 0., 0, 0., 0, 0., 46, 16.370106761565836, 0, 0., 0, 0., 2, 0.7117437722419929, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 3, 1.0676156583629892, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 230, 81.85053380782918, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 163, 388, 551, 281, 0.5099818511796733
, generated\gt\sample_000320.krn, generated\xml_homr\sample_000320.xml, 0, 0., 89, 40.45454545454545, 0, 0., 0, 0., 0, 0., 0, 0., 15, 6.818181818181818, 0, 0., 0, 0., 4, 1.8181818181818181, 0, 0., 0, 0., 0, 0., 1, 0.45454545454545453, 3, 1.3636363636363635, 0, 0., 0, 0., 2, 0.9090909090909091, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 102, 46.36363636363637, 0, 0., 4, 1.8181818181818181, 0, 0., 0, 0., 0, 0., 240, 184, 424, 220, 0.5188679245283019
, generated\gt\sample_000475.krn, generated\xml_homr\sample_000475.xml, 0, 0., 0, 0., 0, 0., 21, 4.794520547945205, 0, 0., 0, 0., 8, 1.82648401826484, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 12, 2.73972602739726, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 397, 90.6392694063927, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 223, 600, 823, 438, 0.5321992709599028
, generated\gt\sample_000272.krn, generated\xml_homr\sample_000272.xml, 0, 0., 185, 40.130151843817785, 0, 0., 83, 18.004338394793926, 0, 0., 0, 0., 6, 1.3015184381778742, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.21691973969631237, 2, 0.43383947939262474, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 13, 2.819956616052061, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 167, 36.22559652928417, 0, 0., 4, 0.8676789587852495, 0, 0., 0, 0., 0, 0., 439, 405, 844, 461, 0.5462085308056872
, generated\gt\sample_000109.krn, generated\xml_homr\sample_000109.xml, 0, 0., 62, 12.474849094567404, 0, 0., 53, 10.663983903420522, 0, 0., 0, 0., 2, 0.4024144869215292, 0, 0., 0, 0., 0, 0., 1, 0.2012072434607646, 1, 0.2012072434607646, 0, 0., 3, 0.6036217303822937, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 301, 60.563380281690144, 70, 14.084507042253522, 0, 0., 4, 0.8048289738430584, 0, 0., 0, 0., 0, 0., 297, 587, 884, 497, 0.5622171945701357
, generated\gt\sample_000438.krn, generated\xml_homr\sample_000438.xml, 0, 0., 40, 20.304568527918782, 0, 0., 22, 11.16751269035533, 0, 0., 3, 1.5228426395939085, 5, 2.5380710659898478, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 2.5380710659898478, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 122, 61.92893401015228, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 147, 199, 346, 197, 0.569364161849711
, generated\gt\sample_000168.krn, generated\xml_homr\sample_000168.xml, 0, 0., 0, 0., 0, 0., 8, 4.49438202247191, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 4, 2.247191011235955, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.5617977528089888, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 4, 2.247191011235955, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 161, 90.4494382022472, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 80, 232, 312, 178, 0.5705128205128205
, generated\gt\sample_000365.krn, generated\xml_homr\sample_000365.xml, 0, 0., 12, 2.146690518783542, 0, 0., 28, 5.008944543828265, 0, 0., 0, 0., 4, 0.7155635062611807, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.17889087656529518, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 514, 91.94991055456171, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 219, 740, 959, 559, 0.5828988529718456
, generated\gt\sample_000386.krn, generated\xml_homr\sample_000386.xml, 0, 0., 167, 53.18471337579618, 0, 0., 44, 14.012738853503185, 0, 0., 0, 0., 4, 1.2738853503184713, 0, 0., 0, 0., 1, 0.3184713375796178, 0, 0., 1, 0.3184713375796178, 0, 0., 1, 0.3184713375796178, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 9, 2.8662420382165603, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 83, 26.43312101910828, 0, 0., 4, 1.2738853503184713, 0, 0., 0, 0., 0, 0., 275, 252, 527, 314, 0.5958254269449715
