, gtpath, predpath, bad kern syntax OMR-ED, bad kern syntax % contribution to OMR-NED, wrong note OMR-ED, wrong note % contribution to OMR-NED, wrong note head OMR-ED, wrong note head % contribution to OMR-NED, wrong flag/beam OMR-ED, wrong flag/beam % contribution to OMR-NED, wrong dot OMR-ED, wrong dot % contribution to OMR-NED, wrong tuplet OMR-ED, wrong tuplet % contribution to OMR-NED, wrong accidental OMR-ED, wrong accidental % contribution to OMR-NED, wrong note stem OMR-ED, wrong note stem % contribution to OMR-NED, wrong graceness OMR-ED, wrong graceness % contribution to OMR-NED, wrong tie OMR-ED, wrong tie % contribution to OMR-NED, wrong articulation OMR-ED, wrong articulation % contribution to OMR-NED, wrong ornament OMR-ED, wrong ornament % contribution to OMR-NED, wrong lyric OMR-ED, wrong lyric % contribution to OMR-NED, wrong clef OMR-ED, wrong clef % contribution to OMR-NED, wrong timesig OMR-ED, wrong timesig % contribution to OMR-NED, wrong keysig OMR-ED, wrong keysig % contribution to OMR-NED, wrong tempo OMR-ED, wrong tempo % contribution to OMR-NED, wrong barline OMR-ED, wrong barline % contribution to OMR-NED, wrong direction OMR-ED, wrong direction % contribution to OMR-NED, wrong dynamic OMR-ED, wrong dynamic % contribution to OMR-NED, wrong crescendo OMR-ED, wrong crescendo % contribution to OMR-NED, wrong diminuendo OMR-ED, wrong diminuendo % contribution to OMR-NED, wrong slur OMR-ED, wrong slur % contribution to OMR-NED, wrong ottava OMR-ED, wrong ottava % contribution to OMR-NED, wrong multi-staff arpeggio OMR-ED, wrong multi-staff arpeggio % contribution to OMR-NED, wrong fingered tremolo OMR-ED, wrong fingered tremolo % contribution to OMR-NED, wrong chord symbol OMR-ED, wrong chord symbol % contribution to OMR-NED, wrong ending OMR-ED, wrong ending % contribution to OMR-NED, wrong staff info OMR-ED, wrong staff info % contribution to OMR-NED, wrong system break OMR-ED, wrong system break % contribution to OMR-NED, wrong page break OMR-ED, wrong page break % contribution to OMR-NED, wrong other object OMR-ED, wrong other object % contribution to OMR-NED, entire measure insert/delete OMR-ED, entire measure insert/delete % contribution to OMR-NED, entire staff insert/delete OMR-ED, entire staff insert/delete % contribution to OMR-NED, wrong metadata OMR-ED, wrong metadata % contribution to OMR-NED, wrong staff group OMR-ED, wrong staff group % contribution to OMR-NED, wrong staff group name/abbrev OMR-ED, wrong staff group name/abbrev % contribution to OMR-NED, wrong staff group brace OMR-ED, wrong staff group brace % contribution to OMR-NED, wrong staff group barline OMR-ED, wrong staff group barline % contribution to OMR-NED, gt numsyms, pred numsyms, total numsyms (in both scores), OMR-ED (OMR Edit Distance), OMR-NED (OMR-ED / total numsyms)
, generated\gt\sample_000191.krn, generated\xml_oemer\sample_000191.xml, 0, 0., 163, 32.92929292929293, 0, 0., 12, 2.4242424242424243, 3, 0.6060606060606061, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 2, 0.40404040404040403, 2, 0.40404040404040403, 2, 0.40404040404040403, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 1.0101010101010102, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 306, 61.81818181818182, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 191, 498, 689, 495, 0.7184325108853411
, generated\gt\sample_000609.krn, generated\xml_oemer\sample_000609.xml, 0, 0., 46, 9.181636726546905, 8, 1.596806387225549, 10, 1.996007984031936, 0, 0., 0, 0., 10, 1.996007984031936, 0, 0., 0, 0., 2, 0.3992015968063872, 0, 0., 2, 0.3992015968063872, 0, 0., 0, 0., 4, 0.7984031936127745, 4, 0.7984031936127745, 0, 0., 2, 0.3992015968063872, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 408, 81.437125748503, 0, 0., 0, 0., 0, 0., 5, 0.998003992015968, 0, 0., 0, 0., 138, 537, 675, 501, 0.7422222222222222
, generated\gt\sample_000355.krn, generated\xml_oemer\sample_000355.xml, 0, 0., 201, 20.59426229508197, 0, 0., 69, 7.069672131147541, 0, 0., 0, 0., 1, 0.10245901639344263, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.10245901639344263, 2, 0.20491803278688525, 2, 0.20491803278688525, 0, 0., 2, 0.20491803278688525, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 698, 71.51639344262296, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 320, 993, 1313, 976, 0.7433358720487433
, generated\gt\sample_000475.krn, generated\xml_oemer\sample_000475.xml, 0, 0., 121, 21.37809187279152, 0, 0., 12, 2.1201413427561837, 1, 0.17667844522968199, 0, 0., 4, 0.7067137809187279, 0, 0., 0, 0., 0, 0., 2, 0.35335689045936397, 0, 0., 0, 0., 0, 0., 2, 0.35335689045936397, 1, 0.17667844522968199, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 9, 1.5901060070671378, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 414, 73.14487632508833, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 223, 535, 758, 566, 0.7467018469656992
, generated\gt\sample_000111.krn, generated\xml_oemer\sample_000111.xml, 0, 0., 85, 6.415094339622642, 2, 0.1509433962264151, 129, 9.735849056603774, 2, 0.1509433962264151, 0, 0., 5, 0.37735849056603776, 0, 0., 0, 0., 2, 0.1509433962264151, 0, 0., 0, 0., 0, 0., 0, 0., 4, 0.3018867924528302, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 3, 0.22641509433962265, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1088, 82.11320754716981, 0, 0., 0, 0., 0, 0., 5, 0.37735849056603776, 0, 0., 0, 0., 341, 1417, 1758, 1325, 0.7536973833902162
, generated\gt\sample_000263.krn, generated\xml_oemer\sample_000263.xml, 0, 0., 110, 11.16751269035533, 2, 0.20304568527918782, 2, 0.20304568527918782, 3, 0.30456852791878175, 0, 0., 3, 0.30456852791878175, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 4, 0.40609137055837563, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 856, 86.90355329949239, 0, 0., 0, 0., 0, 0., 5, 0.5076142131979695, 0, 0., 0, 0., 221, 1078, 1299, 985, 0.7582755966127791
, generated\gt\sample_000038.krn, generated\xml_oemer\sample_000038.xml, 0, 0., 119, 19.636963696369637, 10, 1.6501650165016502, 24, 3.9603960396039604, 1, 0.16501650165016502, 0, 0., 2, 0.33003300330033003, 0, 0., 0, 0., 0, 0., 6, 0.9900990099009901, 0, 0., 0, 0., 0, 0., 4, 0.6600660066006601, 0, 0., 0, 0., 4, 0.6600660066006601, 0, 0., 0, 0., 0, 0., 0, 0., 4, 0.6600660066006601, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 427, 70.46204620462046, 0, 0., 0, 0., 0, 0., 5, 0.8250825082508251, 0, 0., 0, 0., 188, 609, 797, 606, 0.7603513174404015
, generated\gt\sample_000281.krn, generated\xml_oemer\sample_000281.xml, 0, 0., 42, 5.7534246575342465, 2, 0.273972602739726, 25, 3.4246575342465753, 3, 0.410958904109589, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 0.684931506849315, 2, 0.273972602739726, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 12, 1.643835616438356, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 634, 86.84931506849315, 0, 0., 0, 0., 0, 0., 5, 0.684931506849315, 0, 0., 0, 0., 163, 797, 960, 730, 0.7604166666666666
, generated\gt\sample_000248.krn, generated\xml_oemer\sample_000248.xml, 0, 0., 155, 26.22673434856176, 18, 3.045685279187817, 1, 0.1692047377326565, 14, 2.3688663282571913, 0, 0., 10, 1.6920473773265652, 0, 0., 0, 0., 3, 0.5076142131979695, 1, 0.1692047377326565, 0, 0., 0, 0., 2, 0.338409475465313, 4, 0.676818950930626, 4, 0.676818950930626, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 11, 1.8612521150592216, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 363, 61.421319796954315, 0, 0., 0, 0., 0, 0., 5, 0.8460236886632826, 0, 0., 0, 0., 228, 549, 777, 591, 0.7606177606177607
, generated\gt\sample_000112.krn, generated\xml_oemer\sample_000112.xml, 0, 0., 41, 2.775897088693297, 8, 0.5416384563303994, 48, 3.2498307379823967, 2, 0.13540961408259986, 0, 0., 3, 0.2031144211238998, 0, 0., 0, 0., 0, 0., 32, 2.1665538253215977, 0, 0., 0, 0., 4, 0.2708192281651997, 4, 0.2708192281651997, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1330, 90.04739336492891, 0, 0., 0, 0., 0, 0., 5, 0.33852403520649965, 0, 0., 0, 0., 311, 1613, 1924, 1477, 0.7676715176715176
