, gtpath, predpath, bad kern syntax OMR-ED, bad kern syntax % contribution to OMR-NED, wrong note OMR-ED, wrong note % contribution to OMR-NED, wrong note head OMR-ED, wrong note head % contribution to OMR-NED, wrong flag/beam OMR-ED, wrong flag/beam % contribution to OMR-NED, wrong dot OMR-ED, wrong dot % contribution to OMR-NED, wrong tuplet OMR-ED, wrong tuplet % contribution to OMR-NED, wrong accidental OMR-ED, wrong accidental % contribution to OMR-NED, wrong note stem OMR-ED, wrong note stem % contribution to OMR-NED, wrong graceness OMR-ED, wrong graceness % contribution to OMR-NED, wrong tie OMR-ED, wrong tie % contribution to OMR-NED, wrong articulation OMR-ED, wrong articulation % contribution to OMR-NED, wrong ornament OMR-ED, wrong ornament % contribution to OMR-NED, wrong lyric OMR-ED, wrong lyric % contribution to OMR-NED, wrong clef OMR-ED, wrong clef % contribution to OMR-NED, wrong timesig OMR-ED, wrong timesig % contribution to OMR-NED, wrong keysig OMR-ED, wrong keysig % contribution to OMR-NED, wrong tempo OMR-ED, wrong tempo % contribution to OMR-NED, wrong barline OMR-ED, wrong barline % contribution to OMR-NED, wrong direction OMR-ED, wrong direction % contribution to OMR-NED, wrong dynamic OMR-ED, wrong dynamic % contribution to OMR-NED, wrong crescendo OMR-ED, wrong crescendo % contribution to OMR-NED, wrong diminuendo OMR-ED, wrong diminuendo % contribution to OMR-NED, wrong slur OMR-ED, wrong slur % contribution to OMR-NED, wrong ottava OMR-ED, wrong ottava % contribution to OMR-NED, wrong multi-staff arpeggio OMR-ED, wrong multi-staff arpeggio % contribution to OMR-NED, wrong fingered tremolo OMR-ED, wrong fingered tremolo % contribution to OMR-NED, wrong chord symbol OMR-ED, wrong chord symbol % contribution to OMR-NED, wrong ending OMR-ED, wrong ending % contribution to OMR-NED, wrong staff info OMR-ED, wrong staff info % contribution to OMR-NED, wrong system break OMR-ED, wrong system break % contribution to OMR-NED, wrong page break OMR-ED, wrong page break % contribution to OMR-NED, wrong other object OMR-ED, wrong other object % contribution to OMR-NED, entire measure insert/delete OMR-ED, entire measure insert/delete % contribution to OMR-NED, entire staff insert/delete OMR-ED, entire staff insert/delete % contribution to OMR-NED, wrong metadata OMR-ED, wrong metadata % contribution to OMR-NED, wrong staff group OMR-ED, wrong staff group % contribution to OMR-NED, wrong staff group name/abbrev OMR-ED, wrong staff group name/abbrev % contribution to OMR-NED, wrong staff group brace OMR-ED, wrong staff group brace % contribution to OMR-NED, wrong staff group barline OMR-ED, wrong staff group barline % contribution to OMR-NED, gt numsyms, pred numsyms, total numsyms (in both scores), OMR-ED (OMR Edit Distance), OMR-NED (OMR-ED / total numsyms)
, generated\gt\sample_000676.krn, generated\xml_trimmed_oemer\sample_000676.xml, 0, 0., 24, 24.742268041237114, 6, 6.185567010309279, 40, 41.23711340206186, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 6, 6.185567010309279, 1, 1.0309278350515463, 0, 0., 0, 0., 4, 4.123711340206185, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 11, 11.34020618556701, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 5.154639175257732, 0, 0., 0, 0., 213, 196, 409, 97, 0.2371638141809291
, generated\gt\sample_000344.krn, generated\xml_trimmed_oemer\sample_000344.xml, 0, 0., 0, 0., 16, 37.2093023255814, 7, 16.27906976744186, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 14, 32.55813953488372, 0, 0., 0, 0., 0, 0., 2, 4.651162790697675, 0, 0., 0, 0., 4, 9.30232558139535, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 101, 74, 175, 43, 0.24571428571428572
, generated\gt\sample_000112.krn, generated\xml_trimmed_oemer\sample_000112.xml, 0, 0., 41, 27.891156462585034, 8, 5.442176870748299, 48, 32.6530612244898, 2, 1.3605442176870748, 0, 0., 3, 2.0408163265306123, 0, 0., 0, 0., 0, 0., 32, 21.768707482993197, 0, 0., 0, 0., 4, 2.7210884353741496, 4, 2.7210884353741496, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 3.401360544217687, 0, 0., 0, 0., 311, 283, 594, 147, 0.2474747474747475
, generated\gt\sample_000283.krn, generated\xml_trimmed_oemer\sample_000283.xml, 0, 0., 4, 4.545454545454546, 4, 4.545454545454546, 40, 45.45454545454545, 1, 1.1363636363636365, 0, 0., 4, 4.545454545454546, 0, 0., 0, 0., 0, 0., 2, 2.272727272727273, 0, 0., 0, 0., 0, 0., 2, 2.272727272727273, 10, 11.363636363636363, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 16, 18.181818181818183, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 5.681818181818182, 0, 0., 0, 0., 186, 168, 354, 88, 0.24858757062146894
, generated\gt\sample_000393.krn, generated\xml_trimmed_oemer\sample_000393.xml, 0, 0., 72, 64.86486486486487, 12, 10.81081081081081, 11, 9.90990990990991, 0, 0., 0, 0., 2, 1.8018018018018018, 0, 0., 0, 0., 0, 0., 0, 0., 1, 0.9009009009009009, 0, 0., 1, 0.9009009009009009, 4, 3.6036036036036037, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 3, 2.7027027027027026, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 4.504504504504505, 0, 0., 0, 0., 223, 220, 443, 111, 0.2505643340857788
, generated\gt\sample_000130.krn, generated\xml_trimmed_oemer\sample_000130.xml, 0, 0., 23, 28.395061728395063, 14, 17.28395061728395, 34, 41.97530864197531, 1, 1.2345679012345678, 0, 0., 0, 0., 0, 0., 0, 0., 2, 2.4691358024691357, 0, 0., 0, 0., 0, 0., 2, 2.4691358024691357, 2, 2.4691358024691357, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 3, 3.7037037037037037, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 161, 147, 308, 81, 0.262987012987013
, generated\gt\sample_000078.krn, generated\xml_trimmed_oemer\sample_000078.xml, 0, 0., 12, 13.043478260869565, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 1.0869565217391304, 4, 4.3478260869565215, 12, 13.043478260869565, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 58, 63.04347826086956, 0, 0., 0, 0., 0, 0., 5, 5.434782608695652, 0, 0., 0, 0., 174, 166, 340, 92, 0.27058823529411763
, generated\gt\sample_000263.krn, generated\xml_trimmed_oemer\sample_000263.xml, 0, 0., 108, 85.71428571428571, 0, 0., 2, 1.5873015873015872, 4, 3.1746031746031744, 0, 0., 3, 2.380952380952381, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 4, 3.1746031746031744, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 3.9682539682539684, 0, 0., 0, 0., 221, 233, 454, 126, 0.2775330396475771
, generated\gt\sample_000281.krn, generated\xml_trimmed_oemer\sample_000281.xml, 0, 0., 42, 43.75, 2, 2.0833333333333335, 25, 26.041666666666668, 3, 3.125, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 5.208333333333333, 2, 2.0833333333333335, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 12, 12.5, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 5, 5.208333333333333, 0, 0., 0, 0., 163, 163, 326, 96, 0.294478527607362
, generated\gt\sample_000351.krn, generated\xml_trimmed_oemer\sample_000351.xml, 0, 0., 24, 70.58823529411765, 6, 17.647058823529413, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 1, 2.9411764705882355, 0, 0., 0, 0., 0, 0., 0, 0., 1, 2.9411764705882355, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 2, 5.882352941176471, 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 0, 0., 59, 55, 114, 34, 0.2982456140350877
